Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fr,6-9,Cameron Boozer,Duke,ACC,80.6,7.0,16.6,133.7,29.6,63.4,67.2,11.5,20.9,26.6,14.0,2.5,3.2,55.6,101-153,.660,6.9,24-63,.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sr,6-7,Keyshawn Hall,Auburn,SEC,77.4,6.7,10.6,132.4,26.5,58.3,66.8,8.5,18.0,15.8,15.6,2.9,1.2,73.9,60-113,.531,7.5,30-67,.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sr,6-2,Bruce Thornton,Ohio St.,B10,88.9,6.6,10.6,139.3,21.7,64.9,68.5,2.5,13.7,21.1,9.5,0.8,1.9,34.6,74-115,.643,7.9,32-73,.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sr,6-0,Boopie Miller,SMU,ACC,80.1,6.5,10.7,132.6,26.0,56.4,65.1,2.3,9.8,33.7,15.4,0.2,3.2,56.7,59-114,.518,7.7,31-73,.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sr,6-7,Nick Martinelli,Northwestern,B10,77.4,6.3,8.5,130.4,27.4,63.7,67.6,9.6,13.0,10.0,9.7,1.7,1.3,53.4,96-158,.608,4.4,18-35,.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fr,6-9,AJ Dybantsa,BYU,B12,79.1,6.0,12.2,125.4,31.0,61.4,65.4,5.6,17.9,23.2,15.9,1.7,2.6,64.2,111-172,.645,4.7,14-43,.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jr,6-1,Aden Holloway,Alabama,SEC,58.1,5.9,9.8,135.7,23.2,62.7,65.8,1.4,6.4,23.6,10.4,0.0,1.0,29.8,35-66,.530,13.4,44-95,.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,So,6-3,Christian Anderson,Texas Tech,B12,95.8,5.9,9.1,125.2,24.4,60.0,62.5,2.1,8.1,33.1,17.9,0.2,2.6,31.6,54-96,.563,11.0,50-119,.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fr,6-6,Keaton Wagler,Illinois,B10,76.8,5.9,10.7,136.7,23.1,56.7,63.3,8.3,10.0,20.9,12.4,1.0,1.4,57.1,39-76,.513,9.5,33-80,.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fr,6-2,Ebuka Okorie,Stanford,ACC,74.1,5.8,9.7,122.7,28.9,49.1,56.5,3.1,10.3,20.5,7.5,0.9,2.5,53.0,73-144,.507,10.3,28-90,.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sr,6-4,MJ Collins,Utah St.,MWC,75.3,5.7,9.9,140.7,22.6,66.5,70.0,2.4,6.9,10.1,9.1,0.3,2.1,36.4,58-90,.644,11.3,38-83,.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jr,6-8,Paulius Murauskas,Saint Mary's,WCC,83.5,5.7,6.8,124.0,27.6,51.6,59.6,8.6,19.1,16.3,12.7,1.3,1.2,58.9,92-164,.561,5.8,14-55,.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sr,6-11,Oscar Cluff,Purdue,B10,58.9,5.7,12.3,156.5,19.3,74.5,74.7,21.3,21.6,12.0,7.3,4.1,0.9,43.4,79-106,.745,0.0,0-0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sr,6-5,Richie Saunders,BYU,B12,79.2,5.6,11.5,133.3,23.4,62.7,66.5,5.9,12.5,12.7,12.2,0.8,3.9,38.6,56-87,.644,12.1,45-110,.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sr,6-7,Cade Tyson,Minnesota,B10,88.8,5.6,7.7,127.4,26.0,59.0,65.3,6.9,11.1,18.3,11.9,0.2,1.6,67.5,67-113,.593,9.3,34-87,.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sr,6-4,Bennett Stirtz,Iowa,B10,88.1,5.6,9.2,127.5,24.0,57.8,62.1,1.0,7.8,27.1,12.7,0.5,2.7,37.3,56-99,.566,10.3,37-94,.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sr,5-11,Tavari Johnson,Akron,MAC,76.2,5.6,8.5,133.4,26.4,63.5,66.3,2.0,4.3,30.8,14.2,0.8,2.6,21.9,74-114,.649,10.1,32-78,.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jr,6-3,Dior Johnson,Tarleton St.,WAC,57.4,5.5,11.4,131.6,33.4,63.2,69.3,2.5,9.9,17.8,11.6,0.4,3.0,66.4,72-124,.581,5.1,16-28,.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sr,6-0,Braden Smith,Purdue,B10,80.7,5.5,11.9,125.3,26.7,55.5,58.0,2.7,10.2,46.7,20.2,0.9,3.4,26.6,57-109,.523,7.3,26-64,.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,So,6-4,Labaron Philon,Alabama,SEC,66.3,5.4,10.4,121.0,31.3,59.9,62.5,1.4,9.5,35.2,17.0,0.9,2.7,35.8,87-138,.630,9.9,29-80,.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fr,6-3,Darius Acuff Jr.,Arkansas,SEC,82.3,5.4,7.7,124.4,26.8,56.8,60.3,1.6,7.5,32.9,13.6,1.4,1.5,32.9,74-141,.525,9.0,37-87,.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,So,6-5,Cameron Carr,Baylor,B12,80.3,5.4,9.0,128.2,23.6,61.5,65.3,2.5,14.6,8.5,13.2,5.0,1.4,52.8,63-101,.624,9.6,31-77,.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sr,6-9,Yaxel Lendeborg,Michigan,B10,65.7,5.4,17.7,143.4,20.5,63.1,67.9,7.8,18.1,19.8,9.0,5.6,2.5,44.0,50-69,.725,8.6,23-65,.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
