Rk,Class,Unnamed: 2,Player,Team,Conf,Minutes_Avg,PRPG,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,Unnamed: 21,3P/100,3P,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Last_5_Avg_FP,Opp_Def_Rank
1,Fr,6-9,Cameron Boozer,Duke,ACC,32.239999999999995,7.0,16.6,133.7,29.6,63.4,67.2,11.5,20.9,26.6,14.0,2.5,3.2,55.6,101-153,0.66,6.9,24-63,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,320
2,Sr,6-7,Keyshawn Hall,Auburn,SEC,30.96,6.7,10.6,132.4,26.5,58.3,66.8,8.5,18.0,15.8,15.6,2.9,1.2,73.9,60-113,0.531,7.5,30-67,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.45,228
3,Sr,6-2,Bruce Thornton,Ohio State,B10,35.56,6.6,10.6,139.3,21.7,64.9,68.5,2.5,13.7,21.1,9.5,0.8,1.9,34.6,74-115,0.643,7.9,32-73,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.099999999999994,14
4,Sr,6-0,Boopie Miller,SMU,ACC,32.04,6.5,10.7,132.6,26.0,56.4,65.1,2.3,9.8,33.7,15.4,0.2,3.2,56.7,59-114,0.518,7.7,31-73,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75,238
5,Sr,6-7,Nick Martinelli,Northwestern,B10,30.96,6.3,8.5,130.4,27.4,63.7,67.6,9.6,13.0,10.0,9.7,1.7,1.3,53.4,96-158,0.608,4.4,18-35,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.05,137
6,Fr,6-9,AJ Dybantsa,BYU,B12,31.639999999999997,6.0,12.2,125.4,31.0,61.4,65.4,5.6,17.9,23.2,15.9,1.7,2.6,64.2,111-172,0.645,4.7,14-43,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,178
7,Jr,6-1,Aden Holloway,Alabama,SEC,23.24,5.9,9.8,135.7,23.2,62.7,65.8,1.4,6.4,23.6,10.4,0.0,1.0,29.8,35-66,0.53,13.4,44-95,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.650000000000006,156
8,So,6-3,Christian Anderson,Texas Tech,B12,38.32,5.9,9.1,125.2,24.4,60.0,62.5,2.1,8.1,33.1,17.9,0.2,2.6,31.6,54-96,0.563,11.0,50-119,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.650000000000006,19
9,Fr,6-6,Keaton Wagler,Illinois,B10,30.72,5.9,10.7,136.7,23.1,56.7,63.3,8.3,10.0,20.9,12.4,1.0,1.4,57.1,39-76,0.513,9.5,33-80,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.650000000000006,318
10,Fr,6-2,Ebuka Okorie,Stanford,ACC,29.64,5.8,9.7,122.7,28.9,49.1,56.5,3.1,10.3,20.5,7.5,0.9,2.5,53.0,73-144,0.507,10.3,28-90,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,210
11,Sr,6-4,MJ Collins,Utah St.,MWC,30.12,5.7,9.9,140.7,22.6,66.5,70.0,2.4,6.9,10.1,9.1,0.3,2.1,36.4,58-90,0.644,11.3,38-83,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.95,12
